Country_English,Country_Arabic
Turkey,تركيا
Turkmenistan,تركمانستان
Tuvalu,توفالو
Uganda,أوغندا
Ukraine,أوكرانيا
United Arab Emirates,الإمارات العربية المتحدة
United Kingdom,المملكة المتحدة
United States,الولايات المتحدة
Uruguay,أوروغواي
Uzbekistan,أوزبكستان
Vanuatu,فانواتو
Vatican City State (Holy See),الفاتيكان
Venezuela,فنزويلا
Vietnam,فيتنام
Virgin Islands (British),جزر العذراء البريطانية
Virgin Islands (U.S.),جزر العذراء الأمريكية
Wallis and Futuna Islands,واليس وفوتونا
Western Sahara,الصحراء الغربية
Yemen,اليمن
Zambia,زامبيا
Zimbabwe,زيمبابوي
