,block_id,text,file,original_type,country,year,language,id,nr_words,topic_nr,topic_name,topic_category,Country,Alpha-2,Alpha-3,Numeric code,Latitude (average),Longitude (average),UN continental,UN statistical,Population_2018,Population_2019,Annex I or II,SIDS,DFID priority,World Bank Income,World Bank Region,Income group,food_score,Country Code,2021_gdp,Region
10,41," Improve Increasing the access to nutritionally diversified food Food  Establish, maintain and replenish public food storage Security  Monitor and prevent food waste and lost and  Establish close partnership with the partner to ensure Nutrition synergies with other initiatives, such as school feeding, nutrition education Monitor food security  Improve systems of monitoring food security  Identify criteria, develop Less Favourable Areas, LFA maps, and measures IV. Develop Support market opening, investment attraction, and export",Armenia_2021_ENG,.pdf,Armenia,2021,ENG,Armenia_2021_ENG_41,72,24,Agricultural employment,Agriculture,Armenia,AM,ARM,51.0,40.0,45.0,Asia,Western Asia,"2,951,745","2,957,731",Non-Annex I,,0.0,Upper-middle,Europe & Central Asia,Upper middle income,7.1,ARM,15592.4873567251,Asia
11,42," pricing system that will be based on the quality standards of milk (grapes) Promote well-organised agro-wholesale, retail and farmer markets  Develop feasibility studies for establishment of the modern wholesale market  Promote local farmers market establishment and direct sales Foster cooperation, aggregation, and value chain integration  Support policy for creation and mainteCountry'sce of successful producers’ groups  Encourage different type of farmers’ associations’ establishment (sectorial, local, regional, livestock breeder associations which will be herd book holders etc.)  Promote the efficiency of farmers’ activities through non-",Armenia_2021_ENG,.pdf,Armenia,2021,ENG,Armenia_2021_ENG_42,86,24,Agricultural employment,Agriculture,Armenia,AM,ARM,51.0,40.0,45.0,Asia,Western Asia,"2,951,745","2,957,731",Non-Annex I,,0.0,Upper-middle,Europe & Central Asia,Upper middle income,7.1,ARM,15592.4873567251,Asia
12,27,"guarantee the livelihoods of people in agriculture and the food chain; contribute to the sustainability of the environment. To meet the expectations and transform the national food system, Country will focus on six key priority areas.",Azerbaijan_2021_ENG,.docx,Azerbaijan,2021,ENG,Azerbaijan_2021_ENG_27,36,24,Agricultural employment,Agriculture,Azerbaijan,AZ,AZE,31.0,40.5,47.5,Asia,Western Asia,"9,949,537","10,047,718",Non-Annex I,,0.0,Upper-middle,Europe & Central Asia,Upper middle income,10.1,AZE,15854.5508382533,Asia
13,7," Following the onset of the COVID-19 health pandemic, the Government of The Countryenlisted key stakeholders throughout the public and private sector to devise an Economic Recovery Report15 to serve asthe guidingfoundation for theeconomicvision of thegovernment: an economy that is resilient, dynamic, inclusiveandsustainable.Asit relatestothe foodsystem, this report is in alignment withtheBlueand GreenSectoral Strategy.Collectively,thesenational planning documents reinforce the immediate and long-term need to support the country’s 13 ument.pdf 14 r_public_release.pdf 15 sustainable development thereby fostering action for sustainable food systems.",Bahamas_2021_ENG,.pdf,Bahamas,2021,ENG,Bahamas_2021_ENG_7,86,24,Agricultural employment,Agriculture,Bahamas,BS,BHS,44.0,24.25,-76.0,Americas,Caribbean,"385,637","389,482",Non-Annex I,Caribbean,0.0,High,Latin America & Caribbean,High income,17.2,BHS,33188.7324722864,South America
14,5,"In order to arrive at the food strategy, the Department of Agriculture and Fisheries drew up a plan of action for the process and coordinated it with the food coalition. The six steps are: engaging, developing a vision, exploration, consolidation, delivery and enshrining. The external agency Möbius guaranteed neutral and professional facilitation of the stakeholder process. A broader group of stakeholders was involved in the process through feedback, including the Platform for Agricultural and Food Research and the Strategic Advisory Council for Agriculture and Fisheries (SALV).",Belgium_2023_ENG,.pdf,Belgium,2023,ENG,Belgium_2023_ENG_5,86,24,Agricultural employment,Agriculture,Belgium,BE,BEL,56.0,50.8333,4.0,Europe,Western Europe,"11,482,178","11,539,328",Annex I,,0.0,High,Europe & Central Asia,High income,5.8,BEL,59372.889675862,Europe
15,3," The 2019-2024 Country's Coalition Agreement gave a political mandate to work on a strong food policy. Healthy, sustainable, sufficient and safe food at the right price for every link in the food chain is central to this. The Department of Agriculture and Fisheries was given a leadership role to engage with all relevant policy areas, levels and stakeholders. In the autumn of 2020, former Country's Minister of Agriculture and Food Hilde Crevits called on everyone to participate in a Country's food strategy.",Belgium_2023_ENG,.pdf,Belgium,2023,ENG,Belgium_2023_ENG_3,86,24,Agricultural employment,Agriculture,Belgium,BE,BEL,56.0,50.8333,4.0,Europe,Western Europe,"11,482,178","11,539,328",Annex I,,0.0,High,Europe & Central Asia,High income,5.8,BEL,59372.889675862,Europe
16,16," A stakeholder conference will be held on 2 December, where the strategy and deals will be discussed in more detail, and the food changemakers will present their results. The food summit is not an end point, but an initial milestone in a journey towards further sustainability of the food system.",Belgium_2023_ENG,.pdf,Belgium,2023,ENG,Belgium_2023_ENG_16,50,24,Agricultural employment,Agriculture,Belgium,BE,BEL,56.0,50.8333,4.0,Europe,Western Europe,"11,482,178","11,539,328",Annex I,,0.0,High,Europe & Central Asia,High income,5.8,BEL,59372.889675862,Europe
17,2,"2 The challenges • External shock of the Country-Countryn war has led to rising food prices for farmers but with the irony of a reduced profit margin for Countryan farmers due to the cost of critical inputs and agro-chemicals (fertilizer, pesticides, insecticides etc) increasing by more than 100% and much greater than their product prices. This offers an opportunity for local fertilizer production linked to composting and other types of manure (for example earthworms) with reducing reliance on imported chemical fertilizers.",Belize_2023_ENG,.pdf,Belize,2023,ENG,Belize_2023_ENG_2,82,24,Agricultural employment,Agriculture,Belize,BZ,BLZ,84.0,17.25,-88.75,Americas,Central America,"383,071","390,353",Non-Annex I,,0.0,Upper-middle,Latin America & Caribbean,Upper middle income,45.5,BLZ,9626.57357080288,South America
18,0,"FOREWORD The fractures within our food systems have painfully come to the fore during the on-going COVID-19 crisis. Now is the time to reflect and reconsider the many ways in which we produce, process, deliver, trade and consume food. We need a food system, which works for all and not for the few. We need a system which nurtures nature and not otherwise. We need a system, which is resilient and delivers in the face of a rapidly warming world. And we need a system which empowers women and ensures that the children of the world get the nutrition they deserve.",Bhutan_2021_ENG,.pdf,Bhutan,2021,ENG,Bhutan_2021_ENG_0,103,24,Agricultural employment,Agriculture,Bhutan,BT,BTN,64.0,27.5,90.5,Asia,Southern Asia,"754,388","763,092",Non-Annex I,,0.0,Lower-middle,South Asia,Lower middle income,,BTN,11983.3169712681,Asia
19,2," 2 | ENHANCE VALUE, STANDARDS AND MARKETS To protect and enhance value, private enterprises and farmer cooperatives will be promoted and strengthened. Such enterprises will serve as primary aggregators and ensure collection of farm produce at the farm gate. These enterprises will possess the technology, know-how, fiCountry'scial resources, and human capital to liaise with farmers, collect and process, build, and adhere to standards, and serve as conduits between smallholders and markets, thereby minimizing 2",Bhutan_2021_ENG,.pdf,Bhutan,2021,ENG,Bhutan_2021_ENG_2,75,24,Agricultural employment,Agriculture,Bhutan,BT,BTN,64.0,27.5,90.5,Asia,Southern Asia,"754,388","763,092",Non-Annex I,,0.0,Lower-middle,South Asia,Lower middle income,,BTN,11983.3169712681,Asia
20,3," At the national level, in collaboration with the National Statistical Bureau, a food systems dashboard will be launched to track performance, and provide a standard reference for all actors within food systems. 4 | SECURE FINANCING AND DE-RISK THE AGRI-FOOD SECTOR Current agri-food related fiCountry'scial institutions will be strengthened to function at the level of a full-fledged agricultural bank. Such bolstered institutions will guarantee fiCountry'scing for upscaling smallholder farming activities, ramping up climate smart productions systems, and establishing logistic centres, storage infrastructures, and agri-food based processing industries.",Bhutan_2021_ENG,.pdf,Bhutan,2021,ENG,Bhutan_2021_ENG_3,93,24,Agricultural employment,Agriculture,Bhutan,BT,BTN,64.0,27.5,90.5,Asia,Southern Asia,"754,388","763,092",Non-Annex I,,0.0,Lower-middle,South Asia,Lower middle income,,BTN,11983.3169712681,Asia
21,0,"Background Food systems are at the heart of the 2030 Agenda for Sustainable Development. Without eliminating hunger and improving the health and nutrition of the world’s population, the 2030 Agenda for Sustainable Development cannot be effectively realized (United Nations Environment Programme, 2019). Achieving these objectives is also fundamentally connected to the global challenge of reducing environmental impacts from the production and consumption of food. Designing and implementing sustainable food systems policies and programmes in a systemic way can help achieve at least 12 of the 17 Sustainable Development Goals (SDGs) (UNEP, 2016).",Botswana_2021_ENG,.pdf,Botswana,2021,ENG,Botswana_2021_ENG_0,93,24,Agricultural employment,Agriculture,Botswana,BW,BWA,72.0,-22.0,24.0,Africa,Southern Africa,"2,254,068","2,303,697",Non-Annex I,,0.0,Upper-middle,Sub-Saharan Africa,Upper middle income,56.3,BWA,16304.1533572515,Africa
22,7,"desigualdades de gênero. ● Promover a conservação e restauração da vegetação nativa em áreas rurais por meio da implementação plena do Código Florestal. O Código exige a conservação e recuperação da vegetação nativa em imóveis rurais, promovendo soluções sustentáveis que aliam a produção de alimentos à 8",Brazil_2023_POR,.pdf,Brazil,2023,POR,Brazil_2023_POR_7,46,24,Agricultural employment,Agriculture,Brazil,BR,BRA,76.0,-10.0,-55.0,Americas,South America,"209,469,323","211,049,527",Non-Annex I,,0.0,Upper-middle,Latin America & Caribbean,Upper middle income,32.8,BRA,16031.0861728725,South America
23,96,"le développement des systèmes d’information, d’alerte précoce et de réponse ; le développement des systèmes d’assurance dans les secteurs des systèmes alimentaires  et des catastrophes naturelles y compris de manière prioritaire l’extension de l’accès à l’assurance sociale pour les petits producteurs et travailleurs agricoles informels; le développement des services de pollinisation ; le renforcement des capacités des structures techniques en charge de la gestion des crises et des catastrophes humanitaires. ACTIONS FORTES A MENER DANS LE COURT TERME (TROIS PREMIERES ANNEES)",Burkina Faso_2021_FR,.docx,Burkina Faso,2021,FR,Burkina Faso_2021_FR_96,85,24,Agricultural employment,Agriculture,Burkina Faso,BF,BFA,854.0,13.0,-2.0,Africa,Western Africa,"19,751,466","20,321,378",Non-Annex I,,0.0,Low,Sub-Saharan Africa,Low income,56.9,BFA,2394.70536478773,Africa
24,120,"le renforcement des actions en faveur de la nutrition maternelle et infantile avec passage à l’échelle du plan Alimentation du Nourrisson et du Jeune Enfant (ANJE) ; l’allocation de 3 % du fiCountry'scement domestique en faveur de la Nutrition ; la réhabilitation/renforcement du réseau routier provincial et départemental dans les zones à forte production y compris les Plaines de production ; le développement du partenariat (alliance productive, agriculture contractuelle, etc.",Burkina Faso_2021_FR,.docx,Burkina Faso,2021,FR,Burkina Faso_2021_FR_120,70,24,Agricultural employment,Agriculture,Burkina Faso,BF,BFA,854.0,13.0,-2.0,Africa,Western Africa,"19,751,466","20,321,378",Non-Annex I,,0.0,Low,Sub-Saharan Africa,Low income,56.9,BFA,2394.70536478773,Africa
25,160,curricula de la formation pour être en phase avec les besoins de modernisation et de compétitivité de l’agriculture. L’augmentation du fiCountry'scement de la recherche et des investissements dans le secteur agricole sont des composantes clés pour l’atteinte de la sécurité alimentaire et nutritionnelle.,Burkina Faso_2021_FR,.docx,Burkina Faso,2021,FR,Burkina Faso_2021_FR_160,47,24,Agricultural employment,Agriculture,Burkina Faso,BF,BFA,854.0,13.0,-2.0,Africa,Western Africa,"19,751,466","20,321,378",Non-Annex I,,0.0,Low,Sub-Saharan Africa,Low income,56.9,BFA,2394.70536478773,Africa
26,154," Pour aboutir à un système alimentaire plus intégré, le pays doit mettre l’accent sur la transformation qui va générer de la plus-value. Pour cela, l’approche filière doit être privilégiée pour prendre en compte les différents maillons de la chaîne depuis la production, le transport, le stockage, la transformation, la commercialisation, la consommation sans oublier la gestion des déchets (économie circulaire).",Burkina Faso_2021_FR,.docx,Burkina Faso,2021,FR,Burkina Faso_2021_FR_154,63,24,Agricultural employment,Agriculture,Burkina Faso,BF,BFA,854.0,13.0,-2.0,Africa,Western Africa,"19,751,466","20,321,378",Non-Annex I,,0.0,Low,Sub-Saharan Africa,Low income,56.9,BFA,2394.70536478773,Africa
27,163,récapitulatif des actions pour un système alimentaire durable au Country ,Burkina Faso_2021_FR,.docx,Burkina Faso,2021,FR,Burkina Faso_2021_FR_163,10,24,Agricultural employment,Agriculture,Burkina Faso,BF,BFA,854.0,13.0,-2.0,Africa,Western Africa,"19,751,466","20,321,378",Non-Annex I,,0.0,Low,Sub-Saharan Africa,Low income,56.9,BFA,2394.70536478773,Africa
28,17," Ce diagnostic a été alimenté par les résultats des concertations nationales avec toutes les parties preCountry'stes des systèmes alimentaires que nous avons réalisées preCountry'st en compte les différents acteurs du niveau central, intermédiaire et périphérique. Le diagnostic stratégique interne a permis de déterminer les forces et les faiblesses des systèmes alimentaires en décortiquant soigneusement les aspects structurels et conjoncturels. Ce qui a permis de révéler sans ambiguïté les éléments nous permettant de fixer les piliers relatifs au renforcement des systèmes alimentaires burundais.",Burundi_2021_FR,.pdf,Burundi,2021,FR,Burundi_2021_FR_17,84,24,Agricultural employment,Agriculture,Burundi,BI,BDI,108.0,-3.5,30.0,Africa,Eastern Africa,"10,524,117","10,864,245",Non-Annex I,,0.0,Low,Sub-Saharan Africa,Low income,,BDI,774.54289094215,Africa
29,19, Les ménages utilisent encore les techniques avec plusieurs saisons population active est hydrauliques dans tout le pays agricoles rudimentaires culturales ; largement inférieur à 8. Existence de la commission foncière 9. L’offre de service en milieu rural parait encore 7. la population nationale faible dépendante 9. Existence de la commission nationale 10. Le système de refiCountry'scement des Institutions de 6. Barrières culturelles de l’environnement micro fiCountry'sces (IMF) qui donnent des crédits aux qui empêchent la 10. Politique de décentralisation qui producteurs n’est pas encore développé consommation de autonomise les communes 11. Mauvaises pratiques nutritionnelles dans certains certains produits 11.,Burundi_2021_FR,.pdf,Burundi,2021,FR,Burundi_2021_FR_19,103,24,Agricultural employment,Agriculture,Burundi,BI,BDI,108.0,-3.5,30.0,Africa,Eastern Africa,"10,524,117","10,864,245",Non-Annex I,,0.0,Low,Sub-Saharan Africa,Low income,,BDI,774.54289094215,Africa
30,20, Exode rural qui spolie la main d’œuvre dans les environnementaux avec 16. Infrastructures routières abondantes campagnes beaucoup de risques pour accès physiques aux denrées 20. Les écoles de formation agricoles font beaucoup alimentaires plus la formation théorique que pratique ; 17. Politique d’autonomisation des jeunes 21. Irrégularité dans la Supervision/inspection des 18. Vastes programmes d’autonomisation boutiques alimentaires des femmes 22.,Burundi_2021_FR,.pdf,Burundi,2021,FR,Burundi_2021_FR_20,63,24,Agricultural employment,Agriculture,Burundi,BI,BDI,108.0,-3.5,30.0,Africa,Eastern Africa,"10,524,117","10,864,245",Non-Annex I,,0.0,Low,Sub-Saharan Africa,Low income,,BDI,774.54289094215,Africa
31,4," GoverCountry'sce for a more inclusive food system Based on the successful conduct of the national food systems dialogues, Country will continue to open the door for multi-stakeholder and multi-sectoral dialogue, coordination, and collaboration to make planning and implementation processes more just, inclusive and participatory. These processes will be promoted at national, sub-national and community levels, and include collaboration between the Royal Government of Country, development partners, the private sector, academia and civil society.",Cambodia_2021_ENG,.pdf,Cambodia,2021,ENG,Cambodia_2021_ENG_4,77,24,Agricultural employment,Agriculture,Cambodia,KH,KHM,116.0,13.0,105.0,Asia,South-eastern Asia,"16,249,792","16,486,542",Non-Annex I,,0.0,Lower-middle,East Asia & Pacific,Lower middle income,51.1,KHM,4783.90361444401,Asia
32,2," Game changers: (i) Healthy diets are to be made more available and accessible through enhanced agricultural productivity and diversification, agro-industry, research and development, food safety, food fortification, value addition, wider commercialization, and infrastructure improvements in local markets; (ii) food will be made more accessible through the expansion of social assistance to vulnerable individuals and households including its cash transfer, homegrown school feeding, and use of fortified foods for in-kind distribution schemes; (iii) the expansion of 1,000 days health counseling and services for mothers and children under 2 years of age, with a focus on promoting exclusive breastfeeding ",Cambodia_2021_ENG,.pdf,Cambodia,2021,ENG,Cambodia_2021_ENG_2,100,24,Agricultural employment,Agriculture,Cambodia,KH,KHM,116.0,13.0,105.0,Asia,South-eastern Asia,"16,249,792","16,486,542",Non-Annex I,,0.0,Lower-middle,East Asia & Pacific,Lower middle income,51.1,KHM,4783.90361444401,Asia
33,3,"Because of its location and its biophysical potential, agriculture is considered there as one of the engines of the national economy and the country as the breadbasket of Central Africa. The areas usable for crop and animal production represent respectively 7.2 million hectares of arable land and 2 million hectares of pasture, or about 20% of the territory.",Cameroon_2022_ENG,.docx,Cameroon,2022,ENG,Cameroon_2022_ENG_3,59,24,Agricultural employment,Agriculture,Cameroon,CM,CMR,120.0,6.0,12.0,Africa,Middle Africa,"25,216,267","25,876,380",Non-Annex I,,0.0,Lower-middle,Sub-Saharan Africa,Lower middle income,58.5,CMR,4065.31160958852,Africa
34,15," Feedback was received through the Pathways consultation process that strong local food economies are a key element for food system transformation towards healthier, more sustainable and more equitable food systems, advancing all SDG goals. Country invests in context-relevant support for local community food systems that support vibrant communities across the country. For example, the $60-million Local Food Infrastructure Fund (LFIF), launched under the Food Policy for Country is aimed at community-based, not-for-profit organizations with a mission to reduce food insecurity by establishing and strengthening local food systems.",Canada_2023_ENG,.pdf,Canada,2023,ENG,Canada_2023_ENG_15,92,24,Agricultural employment,Agriculture,Canada,CA,CAN,124.0,60.0,-95.0,Americas,Northern America,"37,074,562","37,411,047",Annex I,,0.0,High,North America,High income,7.7,CAN,52789.675434009,North America
35,12," La mise en œuvre de ces interventions exige une articulation intersectorielle pour s’assurer que tous les aspects relatifs aux causes directes et sous-jacentes de la malnutrition soient pris en compte dans les politiques de développement, les politiques sectorielles et les programmes nationaux. Les défis importants et fondamentaux pour la réduction de la prévalence de la malnutrition seront donc axés sur les groupes vulnérables en particulier, les enfants de moins de cinq ans, les femmes enceintes/allaitantes et les populations les plus défavorisées. Cette réponse s’articulera autour des points suivants : a.",Chad_2021_FR,.pdf,Chad,2021,FR,Chad_2021_FR_12,93,24,Agricultural employment,Agriculture,Chad,TD,TCD,148.0,15.0,19.0,Africa,Middle Africa,"15,477,729","15,946,876",Non-Annex I,,0.0,Low,Sub-Saharan Africa,Low income,,TCD,1566.04116081687,Africa
36,1," Il s’agit principalement des acteurs gouvernementaux (Présidence, Primature, Ministères et structures sous tutelle), des parlementaires, du Conseil Economique, Social et Culturel, des institutions de formation et de recherche, des partenaires techniques, fiCountry'sciers (bailleurs, agences du système des nations unies, ONG internationales), des acteurs nationaux non étatiques (ONG nationales, organisations des producteurs, organisations des jeunes, organisations/ associations féminines, secteur privé) et des acteurs provinciaux. Au total, 18 concertations ont été organisées dont 5 dans les provinces. 361 personnes y ont pris part dont 113 participants des cinq provinces (Mayo-Kebbi Est, Logone Oriental, Kanem, Guéra et Ouaddaï).",Chad_2021_FR,.pdf,Chad,2021,FR,Chad_2021_FR_1,98,24,Agricultural employment,Agriculture,Chad,TD,TCD,148.0,15.0,19.0,Africa,Middle Africa,"15,477,729","15,946,876",Non-Annex I,,0.0,Low,Sub-Saharan Africa,Low income,,TCD,1566.04116081687,Africa
37,3," Les résultats de l’Analyse du Cadre Harmonisé de mars 2021, nous donne la situation courante et projetée pour la période allant de juin à août 2021. La démarche d’analyse de la situation des systèmes alimentaires et nutritionnelle a été basée sur le cadre conceptuel développé par le Groupe d’experts de haut niveau sur la sécurité alimentaire et la nutrition du Comité de la sécurité alimentaire mondiale (voir schéma ci-dessous).",Chad_2021_FR,.pdf,Chad,2021,FR,Chad_2021_FR_3,73,24,Agricultural employment,Agriculture,Chad,TD,TCD,148.0,15.0,19.0,Africa,Middle Africa,"15,477,729","15,946,876",Non-Annex I,,0.0,Low,Sub-Saharan Africa,Low income,,TCD,1566.04116081687,Africa
38,2," Idealmente, los ambientes deberían promover la elección de los últimos. Estrechamente vinculado con los entornos es el tema del acceso, tanto físico como económico, a alimentos saludables. Fue también una temática abordada recurrentemente en los Diálogos, siendo vinculada a los precios de este tipo de productos que, para los participantes, constituyen uno de los obstáculos más relevantes para el acceso. Del mismo modo, se plantearon eventuales medidas para reducir estas limitantes, tales como el desarrollo de huertos comunitarios, ferias libres, y programas de autocultivo y autoconsumo.",Chile_2022_ESP,.pdf,Chile,2022,ESP,Chile_2022_ESP_2,86,24,Agricultural employment,Agriculture,Chile,CL,CHL,152.0,-30.0,-71.0,Americas,South America,"18,729,160","18,952,038",Non-Annex I,,0.0,High,Latin America & Caribbean,High income,18.1,CHL,28372.039569381,South America
39,14,"Country believes that lucid waters and lush mountains are invaluable assets and sticks to the path of sustainable development. Country has continuously increased support for the protection of resources, environment and ecology and made positive progress in sustainable development. Effective farmland protection. Country emphasizes the protection of farmland quantity, quality and ecology, implements the national master plan for land use and strictly observes the red line of a minimum of 120 millon hectare of farmland. Country has fully implemented a special permanent capital farmland protection scheme and designated 103.3 million hectare of permanent capital farmland.",China_2021_ENG,.docx,China,2021,ENG,China_2021_ENG_14,96,24,Agricultural employment,Agriculture,China,CN,CHN,156.0,35.0,105.0,Asia,Eastern Asia,"1,427,647,786","1,433,783,686",Non-Annex I,,0.0,Upper-middle,East Asia & Pacific,Upper middle income,,CHN,19338.2340845061,Asia
40,33," According to the Third National Agricultural Census, smallholders account for more than 98% of all agricultural players and cultivated 70% of the total area of farmland in Country. The pattern of small, fragmented and weak agricultural production has become an important constraint to the improvement of agricultural labor efficiency and Country’s international competitiveness. Third, growing influence of climate change.",China_2021_ENG,.docx,China,2021,ENG,China_2021_ENG_33,60,24,Agricultural employment,Agriculture,China,CN,CHN,156.0,35.0,105.0,Asia,Eastern Asia,"1,427,647,786","1,433,783,686",Non-Annex I,,0.0,Upper-middle,East Asia & Pacific,Upper middle income,,CHN,19338.2340845061,Asia
